Relation;Object;Related Term
LocatedNear;woodworking_tool;suspicious_sawdust
UsedFor;woodworking_tool;creating_fake_evidence
AtLocation;cellphone;hacking_lab
CapableOf;cellphone;intercepting_communications
HasA;cellphone;spyware_installation
HasProperty;cellphone;encrypted_data_storage
IsA;cellphone;surveillance_device
LocatedNear;cellphone;wiretapping_equipment
UsedFor;cellphone;coordinating_illicit_activities
AtLocation;sleeping_bag;abandoned_campsite
HasProperty;sleeping_bag;human_hair_evidence
LocatedNear;sleeping_bag;suspicious_footprints
UsedFor;sleeping_bag;concealing_victim_remains
AtLocation;negligible_acid;illicit_laboratory
CapableOf;negligible_acid;dissolving_biological_evidence
Causes;negligible_acid;chemical_burns
HasProperty;negligible_acid;corrosive_properties
IsA;negligible_acid;destructive_substance
UsedFor;negligible_acid;obstructing_forensic_analysis
AtLocation;debt_instrument;money_laundering_facility
UsedFor;debt_instrument;financial_fraud
AtLocation;picric_acid;explosives_lab
CapableOf;picric_acid;detonate_explosives
Causes;picric_acid;severe_burns
AtLocation;amphibious_vehicle;smuggling_route
UsedFor;amphibious_vehicle;human_trafficking
AtLocation;lewis_acid;chemical_weapon_facility
CapableOf;lewis_acid;neutralize_chemical_agents
Causes;lewis_acid;respiratory_failure
AtLocation;revolver;crime_scene
CapableOf;revolver;fire_projectiles
Causes;revolver;gunshot_wounds
IsA;revolver;firearm_evidence
UsedFor;revolver;armed_robbery
AtLocation;explosive_ordnance;demolition_site
CapableOf;explosive_ordnance;inflicting_shrapnel_injuries
Causes;explosive_ordnance;blast_trauma
HasA;explosive_ordnance;detonator
HasProperty;explosive_ordnance;unstable_chemical_composition
IsA;explosive_ordnance;lethal_weapon
LocatedNear;explosive_ordnance;shattered_debris
MadeOf;explosive_ordnance;high_explosive_material
PartOf;explosive_ordnance;terrorist_attack_kit
UsedFor;explosive_ordnance;mass_destruction
AtLocation;fire_helmet;burning_building
CapableOf;fire_helmet;protecting_against_heat_stress
HasA;fire_helmet;face_shield
HasProperty;fire_helmet;heat_resistant_material
LocatedNear;fire_helmet;burned_victim
PartOf;fire_helmet;firefighter_gear
UsedFor;fire_helmet;search_and_rescue_operations
AtLocation;stationary_tool;crime_scene_workshop
CapableOf;stationary_tool;tampering_with_evidence
HasA;stationary_tool;hidden_compartment
HasProperty;stationary_tool;altered_serial_number
IsA;stationary_tool;burglary_tool
LocatedNear;stationary_tool;stolen_goods
PartOf;stationary_tool;theft_kit
UsedFor;stationary_tool;disabling_security_systems
AtLocation;propionic_acid;illicit_laboratory
CapableOf;propionic_acid;manufacturing_illicit_substances
Causes;propionic_acid;chemical_burns
HasProperty;propionic_acid;corrosive_properties
IsA;propionic_acid;controlled_chemical
LocatedNear;propionic_acid;hazardous_waste
PartOf;propionic_acid;illicit_drug_production
UsedFor;propionic_acid;synthesizing_narcotics
AtLocation;television_camera;surveillance_room
CapableOf;television_camera;capturing_forensic_evidence
HasA;television_camera;night_vision_capability
HasProperty;television_camera;high_resolution_imaging
IsA;television_camera;forensic_surveillance_equipment
LocatedNear;television_camera;crime_scene_tape
PartOf;television_camera;investigative_toolkit
UsedFor;television_camera;monitoring_suspects
AtLocation;iodic_acid;crime_lab
CapableOf;iodic_acid;erasing_fingerprints
Causes;iodic_acid;chemical_burns
HasProperty;iodic_acid;corrosive
IsA;iodic_acid;destructive_agent
UsedFor;iodic_acid;evidence_tampering
AtLocation;dental_tool;morgue
CapableOf;dental_tool;extracting_dna
IsA;dental_tool;forensic_instrument
LocatedNear;dental_tool;victim_remains
UsedFor;dental_tool;identifying_human_remains
AtLocation;lube_gun;crime_scene_garage
CapableOf;lube_gun;silencing_gunfire
IsA;lube_gun;improvised_silencer
UsedFor;lube_gun;concealing_gunshot
AtLocation;lowering_automobile;chop_shop
CapableOf;lowering_automobile;hiding_stolen_vehicle
IsA;lowering_automobile;vehicle_modification_tool
PartOf;lowering_automobile;car_theft_operation
UsedFor;lowering_automobile;evading_law_enforcement
AtLocation;drug;narcotics_lab
CapableOf;drug;inducing_amnesia
Causes;drug;respiratory_failure
HasProperty;drug;highly_addictive
IsA;drug;controlled_substance
UsedFor;drug;date_rape
AtLocation;digital_telephone;crime_scene_investigation_room
CapableOf;digital_telephone;intercepting_communications
Causes;digital_telephone;electronic_evidence_tampering
HasA;digital_telephone;encrypted_call_logs
HasProperty;digital_telephone;gps_tracking_enabled
IsA;digital_telephone;digital_evidence_source
LocatedNear;digital_telephone;victim_personal_belongings
UsedFor;digital_telephone;coordinating_illicit_activities
AtLocation;poisonous_gas;hazardous_materials_storage
CapableOf;poisonous_gas;inducing_respiratory_failure
Causes;poisonous_gas;mass_casualties
HasA;poisonous_gas;lethal_concentration_levels
HasProperty;poisonous_gas;high_toxicity
IsA;poisonous_gas;chemical_weapon
LocatedNear;poisonous_gas;contaminated_crime_scene
UsedFor;poisonous_gas;mass_murder
AtLocation;armored_car;high_security_facility
CapableOf;armored_car;withstanding_ballistic_attacks
Causes;armored_car;civilian
HasA;armored_car;reinforced_bulletproof_glass
HasProperty;armored_car;tactical_response_vehicle
IsA;armored_car;law_enforcement_vehicle
LocatedNear;armored_car;hostage_situation
UsedFor;armored_car;tactical_transportation
AtLocation;light_gun;crime_scene_reconstruction_area
CapableOf;light_gun;simulating_shooting_scenarios
Causes;light_gun;eye_witness_misidentification
HasA;light_gun;laser_sight
HasProperty;light_gun;adjustable_brightness
IsA;light_gun;forensic_training_tool
LocatedNear;light_gun;ballistic_evidence
UsedFor;light_gun;crime_scene_reconstruction
AtLocation;ve_poison;toxicology_laboratory
CapableOf;ve_poison;inducing_cardiac_arrest
Causes;ve_poison;respiratory_depression
HasA;ve_poison;high_potency
HasProperty;ve_poison;rapid_onset
IsA;ve_poison;lethal_substance
LocatedNear;ve_poison;victim_autopsy_table
UsedFor;ve_poison;homicide
AtLocation;assault_rifle;crime_scene
CapableOf;assault_rifle;inflicting_gunshot_wounds
Causes;assault_rifle;injuries
HasA;assault_rifle;silencer_attachment
HasProperty;assault_rifle;fingerprint_residue
IsA;assault_rifle;homicide_weapon
LocatedNear;assault_rifle;shell_casings
PartOf;assault_rifle;terrorist_cache
UsedFor;assault_rifle;armed_robbery
AtLocation;notebook;evidence_room
HasA;notebook;hidden_message
HasProperty;notebook;ink_stains
IsA;notebook;investigative_lead
LocatedNear;notebook;crime_scene_tape
PartOf;notebook;detective_case_files
UsedFor;notebook;stalking_planning
AtLocation;chemical_irritant;hazardous_materials_storage
CapableOf;chemical_irritant;causing_respiratory_distress
Causes;chemical_irritant;chemical_burns
HasProperty;chemical_irritant;corrosive_properties
IsA;chemical_irritant;bioterrorism_agent
LocatedNear;chemical_irritant;gas_mask
PartOf;chemical_irritant;chemical_weapon_cache
UsedFor;chemical_irritant;torture
AtLocation;nuclear_weapon;high_security_facility
CapableOf;nuclear_weapon;mass_destruction
Causes;nuclear_weapon;radiation_poisoning
HasA;nuclear_weapon;nuclear_trigger
HasProperty;nuclear_weapon;high_level_radiation
PartOf;nuclear_weapon;nuclear_arsenal
UsedFor;nuclear_weapon;nuclear_blackmail
AtLocation;computer_file;cybercrime_server
CapableOf;computer_file;spreading_malware
HasA;computer_file;encrypted_payload
HasProperty;computer_file;digital_watermark
IsA;computer_file;cyber_evidence
LocatedNear;computer_file;hacking_tool
PartOf;computer_file;cyber_attack_campaign
UsedFor;computer_file;identity_theft
AtLocation;computer_repair;cybercrime_lab
CapableOf;computer_repair;data_wipe
UsedFor;computer_repair;evidence_tampering
AtLocation;sofa;crime_scene_living_room
LocatedNear;sofa;victim_body
UsedFor;sofa;concealment_of_evidence
CapableOf;hypobromous_acid;fingerprint_destruction
Causes;hypobromous_acid;chemical_burns
UsedFor;hypobromous_acid;evidence_degradation
AtLocation;command_vehicle;surveillance_headquarters
IsA;command_vehicle;mobile_command_center
PartOf;command_vehicle;tactical_response_unit
CapableOf;command_vehicle;communication_jamming
AtLocation;electric_vehicle;sting_operation_garage
UsedFor;electric_vehicle;covert_surveillance
AtLocation;vehicle_brake;crime_scene_garage
CapableOf;vehicle_brake;sudden_stop
Causes;vehicle_brake;whiplash_injury
HasA;vehicle_brake;tampered_brake_pad
HasProperty;vehicle_brake;malfunctioning
IsA;vehicle_brake;homicide_weapon
LocatedNear;vehicle_brake;skid_mark
PartOf;vehicle_brake;vehicular_homicide_kit
UsedFor;vehicle_brake;staged_accident
AtLocation;communication_vehicle;surveillance_headquarters
CapableOf;communication_vehicle;secure_transmission
HasA;communication_vehicle;encrypted_radio
IsA;communication_vehicle;command_center
PartOf;communication_vehicle;criminal_operation
UsedFor;communication_vehicle;covert_operation
AtLocation;computer_mouse;hacker_lair
CapableOf;computer_mouse;data_exfiltration
HasA;computer_mouse;keylogger_software
IsA;computer_mouse;cybercrime_tool
UsedFor;computer_mouse;identity_theft
AtLocation;gardening_tool;burial_site
CapableOf;gardening_tool;shallow_grave_digging
HasA;gardening_tool;concealed_blade
IsA;gardening_tool;improvised_weapon
UsedFor;gardening_tool;evidence_concealment
AtLocation;sarin_weapon;chemical_warfare_facility
CapableOf;sarin_weapon;mass_casualty
Causes;sarin_weapon;respiratory_failure
HasA;sarin_weapon;lethal_dose
IsA;sarin_weapon;chemical_agent
PartOf;sarin_weapon;weapons_of_mass_destruction
UsedFor;sarin_weapon;terrorist_attack
AtLocation;bank_statement;evidence_room
UsedFor;bank_statement;money_laundering
IsA;bank_statement;financial_evidence
AtLocation;drug_paraphernalia;crime_scene
UsedFor;drug_paraphernalia;narcotics_distribution
IsA;drug_paraphernalia;illicit_equipment
LocatedNear;pocket;victim_body
HasA;pocket;hidden_compartment
UsedFor;pocket;evidence_concealment
AtLocation;greek_fire;arson_scene
CapableOf;greek_fire;structure_destruction
Causes;greek_fire;third_degree_burns
UsedFor;greek_fire;incendiary_attack
AtLocation;stoneworking_tool;forensic_lab
CapableOf;stoneworking_tool;stone_alteration
UsedFor;stoneworking_tool;evidence_tampering
AtLocation;ramset_gun;crime_scene
CapableOf;ramset_gun;firing_nails
Causes;ramset_gun;penetrating_injuries
HasA;ramset_gun;trigger_mechanism
HasProperty;ramset_gun;fingerprint_markings
IsA;ramset_gun;firearm
LocatedNear;ramset_gun;shell_casings
UsedFor;ramset_gun;shooting_victims
AtLocation;bar_tool;burglary_scene
CapableOf;bar_tool;prying_open_doors
Causes;bar_tool;blunt_force_trauma
HasA;bar_tool;grip_handle
HasProperty;bar_tool;stains
IsA;bar_tool;burglary_tool
LocatedNear;bar_tool;broken_glass
UsedFor;bar_tool;forced_entry
AtLocation;metrology_tool;forensic_laboratory
CapableOf;metrology_tool;measuring_evidence
HasA;metrology_tool;calibration_certificate
HasProperty;metrology_tool;precision_calibration
IsA;metrology_tool;forensic_instrument
LocatedNear;metrology_tool;evidence_samples
UsedFor;metrology_tool;analyzing_physical_evidence
AtLocation;heroin;crime_scene
CapableOf;heroin;causing_overdose
Causes;heroin;respiratory_failure
HasA;heroin;cutting_agents
HasProperty;heroin;powdered_form
IsA;heroin;illicit_substance
LocatedNear;heroin;hypodermic_needles
PartOf;heroin;drug_trafficking_operation
UsedFor;heroin;recreational_abuse
AtLocation;body_substance;autopsy_table
HasA;body_substance;dna_profile
HasProperty;body_substance;biological_contamination
IsA;body_substance;biological_evidence
LocatedNear;body_substance;wound_pattern
PartOf;body_substance;crime_scene_investigation
UsedFor;body_substance;forensic_analysis
AtLocation;lewisite_weapon;chemical_warfare_facility
CapableOf;lewisite_weapon;inflict_blistering_injuries
Causes;lewisite_weapon;respiratory_failure
HasA;lewisite_weapon;lethal_dose_container
HasProperty;lewisite_weapon;high_toxicity_level
IsA;lewisite_weapon;chemical_agent
LocatedNear;lewisite_weapon;hazardous_materials_storage
MadeOf;lewisite_weapon;arsenic_based_compound
PartOf;lewisite_weapon;chemical_warfare_arsenal
UsedFor;lewisite_weapon;mass_casualty_attack
AtLocation;shotgun;crime_scene_evidence_locker
CapableOf;shotgun;fire_at_close_range
Causes;shotgun;gunshot_wound
HasA;shotgun;sawed_off_barrel
HasProperty;shotgun;high_recoil_force
IsA;shotgun;firearm_evidence
LocatedNear;shotgun;shell_casings
MadeOf;shotgun;high_carbon_steel
PartOf;shotgun;homicide_investigation
UsedFor;shotgun;armed_robbery
AtLocation;potassium_hydroxide;forensic_laboratory
CapableOf;potassium_hydroxide;dissolve_human_tissue
Causes;potassium_hydroxide;severe_chemical_burns
HasA;potassium_hydroxide;high_concentration_solution
HasProperty;potassium_hydroxide;high_ph_level
IsA;potassium_hydroxide;caustic_substance
LocatedNear;potassium_hydroxide;biohazard_waste
MadeOf;potassium_hydroxide;alkaline_compound
PartOf;potassium_hydroxide;body_disposal_method
UsedFor;potassium_hydroxide;evidence_destruction
AtLocation;police_car;crime_scene_perimeter
CapableOf;police_car;high_speed_pursuit
HasA;police_car;emergency_response_equipment
HasProperty;police_car;distinctive_sirens
IsA;police_car;law_enforcement_vehicle
LocatedNear;police_car;traffic_accident_scene
PartOf;police_car;emergency_response_team
UsedFor;police_car;surveillance_operation
AtLocation;powder_horn;historical_reenactment_site
CapableOf;powder_horn;store_black_powder
HasA;powder_horn;leather
HasProperty;powder_horn;antique_value
IsA;powder_horn;historical_artifact
LocatedNear;powder_horn;muzzle_loader
MadeOf;powder_horn;animal_horn
PartOf;powder_horn;historical_reenactment_equipment
UsedFor;powder_horn;black_powder_loading
AtLocation;cyclosarin_poison;hazardous_materials_storage
CapableOf;cyclosarin_poison;neurotransmitter_disruption
Causes;cyclosarin_poison;respiratory_failure
HasA;cyclosarin_poison;high_toxicity_level
HasProperty;cyclosarin_poison;colorless_odorless_liquid
IsA;cyclosarin_poison;chemical_warfare_agent
LocatedNear;cyclosarin_poison;contaminated_soil
MadeOf;cyclosarin_poison;organophosphorus_compound
PartOf;cyclosarin_poison;chemical_weapon_arsenal
UsedFor;cyclosarin_poison;mass_casualty_attack
AtLocation;vm_weapon;crime_scene_evidence_room
CapableOf;vm_weapon;high_velocity_penetration
Causes;vm_weapon;gunshot_wound
HasA;vm_weapon;silencer_attachment
HasProperty;vm_weapon;semi_automatic_fire_mode
IsA;vm_weapon;firearm_evidence
LocatedNear;vm_weapon;shell_casings
MadeOf;vm_weapon;high_carbon_steel
PartOf;vm_weapon;organized_crime_syndicate
UsedFor;vm_weapon;armed_robbery
AtLocation;digital_camera;forensic_laboratory
CapableOf;digital_camera;high_resolution_image_capture
HasA;digital_camera;hidden_memory_card
HasProperty;digital_camera;encrypted_image_storage
IsA;digital_camera;surveillance_device
LocatedNear;digital_camera;fingerprint_evidence
PartOf;digital_camera;cybercrime_investigation
UsedFor;digital_camera;stalking_evidence_collection
AtLocation;window_pane;burglary_scene
CapableOf;window_pane;shattering_under_impact
HasA;window_pane;sharp_glass_edges
HasProperty;window_pane;fingerprints_on_surface
IsA;window_pane;physical_evidence
LocatedNear;window_pane;footprints_outside
PartOf;window_pane;break_in_investigation
UsedFor;window_pane;forced_entry
AtLocation;computer_fan;evidence_room
CapableOf;computer_fan;data_destruction
HasA;computer_fan;hidden_storage
IsA;computer_fan;digital_evidence
UsedFor;computer_fan;surveillance_disruption
AtLocation;electricians_tool;crime_scene_lab
CapableOf;electricians_tool;wire_tampering
HasA;electricians_tool;concealed_compartment
IsA;electricians_tool;burglary_tool
UsedFor;electricians_tool;security_system_bypass
AtLocation;vehicle;accident_site
CapableOf;vehicle;high_speed_pursuit
Causes;vehicle;fatal_collision
HasA;vehicle;secret_stash
IsA;vehicle;getaway_car
UsedFor;vehicle;smuggling_operation
AtLocation;plymouth_van;abduction_scene
CapableOf;plymouth_van;covert_surveillance
HasA;plymouth_van;illicit_laboratory
IsA;plymouth_van;mobile_crime_lab
UsedFor;plymouth_van;kidnapping
CapableOf;chlorine_molecule;chemical_attack
Causes;chlorine_molecule;respiratory_failure
IsA;chlorine_molecule;toxic_substance
UsedFor;chlorine_molecule;water_sabotage
AtLocation;crane_vehicle;construction_site
CapableOf;crane_vehicle;heavy_lifting
Causes;crane_vehicle;structural_damage
HasA;crane_vehicle;hydraulic_system
HasProperty;crane_vehicle;mechanical_failure
IsA;crane_vehicle;heavy_equipment
LocatedNear;crane_vehicle;excavation_site
PartOf;crane_vehicle;demolition_crew
UsedFor;crane_vehicle;debris_removal
AtLocation;biological_toxin;laboratory
CapableOf;biological_toxin;mass_casualties
Causes;biological_toxin;respiratory_failure
HasA;biological_toxin;antidote
HasProperty;biological_toxin;high_mortality_rate
IsA;biological_toxin;bioterrorism_agent
LocatedNear;biological_toxin;hazardous_materials
PartOf;biological_toxin;chemical_warfare
UsedFor;biological_toxin;biological_warfare
AtLocation;entering_username;login_screen
CapableOf;entering_username;unauthorized_access
Causes;entering_username;identity_theft
HasA;entering_username;password_cracker
HasProperty;entering_username;weak_password
IsA;entering_username;cyber_attack_vector
LocatedNear;entering_username;phishing_site
PartOf;entering_username;social_engineering
UsedFor;entering_username;account_takeover
AtLocation;manual_tool;workshop
CapableOf;manual_tool;forced_entry
Causes;manual_tool;physical_injury
HasA;manual_tool;concealed_compartment
HasProperty;manual_tool;wear_and_tear
IsA;manual_tool;burglary_tool
LocatedNear;manual_tool;crime_scene
PartOf;manual_tool;theft_kit
UsedFor;manual_tool;property_damage
AtLocation;battery;crime_scene_lab
CapableOf;battery;flammable
Causes;battery;electrical_shock
HasA;battery;tamper_evidence
HasProperty;battery;overheated
IsA;battery;incendiary_device_component
LocatedNear;battery;arson_debris
UsedFor;battery;improvised_explosive_device
AtLocation;rescue_vehicle;emergency_response_scene
CapableOf;rescue_vehicle;transporting_evidence
HasA;rescue_vehicle;forensic_equipment
HasProperty;rescue_vehicle;contaminated_with_biological_evidence
IsA;rescue_vehicle;crime_scene_unit
LocatedNear;rescue_vehicle;trauma_victim
UsedFor;rescue_vehicle;evidence_transportation
AtLocation;fusion_weapon;high_security_facility
CapableOf;fusion_weapon;mass_destruction
Causes;fusion_weapon;radiation_poisoning
HasA;fusion_weapon;nuclear_trigger
HasProperty;fusion_weapon;highly_radioactive
IsA;fusion_weapon;weapon_of_mass_destruction
LocatedNear;fusion_weapon;nuclear_waste
UsedFor;fusion_weapon;coercive_diplomacy
AtLocation;fulvic_acid;forensic_lab
CapableOf;fulvic_acid;preserving_biological_evidence
HasA;fulvic_acid;antimicrobial_properties
HasProperty;fulvic_acid;high_oxidation_potential
IsA;fulvic_acid;forensic_preservative
UsedFor;fulvic_acid;evidence_conservation
AtLocation;explosive;demolition_site
CapableOf;explosive;causing_catastrophic_damage
Causes;explosive;shockwave_injury
HasA;explosive;detonation_mechanism
HasProperty;explosive;high_explosive_velocity
IsA;explosive;destructive_device
LocatedNear;explosive;blast_crater
MadeOf;explosive;trinitrotoluene
PartOf;explosive;improvised_explosive_device
UsedFor;explosive;terrorist_attack
AtLocation;golf_bag;crime_scene_garage
UsedFor;golf_bag;concealing_evidence
AtLocation;hazardous_chemical;illicit_laboratory
CapableOf;hazardous_chemical;causing_respiratory_failure
Causes;hazardous_chemical;chemical_burns
UsedFor;hazardous_chemical;poisoning_victims
AtLocation;arsenous_acid;hidden_lab
CapableOf;arsenous_acid;inducing_cardiac_arrest
Causes;arsenous_acid;multi_organ_failure
UsedFor;arsenous_acid;assassination
AtLocation;380_pistol;shooting_scene
CapableOf;380_pistol;penetrating_body_armor
Causes;380_pistol;gunshot_wounds
UsedFor;380_pistol;armed_robbery
AtLocation;fire_ship;naval_battlefield
CapableOf;fire_ship;incinerating_evidence
Causes;fire_ship;mass_casualties
UsedFor;fire_ship;terrorist_attack
AtLocation;exiting_automobile;crime_scene_perimeter
CapableOf;exiting_automobile;fleeing_crime_scene
Causes;exiting_automobile;hit_and_run
HasA;exiting_automobile;tampered_license_plate
HasProperty;exiting_automobile;bloodstained_interior
IsA;exiting_automobile;getaway_vehicle
LocatedNear;exiting_automobile;abandoned_evidence
UsedFor;exiting_automobile;smuggling
AtLocation;fingerprint_scanner;forensic_laboratory
CapableOf;fingerprint_scanner;identifying_suspects
IsA;fingerprint_scanner;forensic_tool
UsedFor;fingerprint_scanner;analyzing_crime_scene_evidence
AtLocation;trash_container;dumpster_behind_crime_scene
HasA;trash_container;hidden_evidence
LocatedNear;trash_container;abandoned_suspect_belongings
UsedFor;trash_container;disposing_of_evidence
CapableOf;projectile_weapon;causing_lethal_injuries
Causes;projectile_weapon;gunshot_wounds
HasA;projectile_weapon;silencer_attachment
HasProperty;projectile_weapon;serial_number_removed
IsA;projectile_weapon;murder_weapon
UsedFor;projectile_weapon;armed_robbery
AtLocation;radioactive_substance;hazardous_materials_storage
CapableOf;radioactive_substance;causing_radiation_poisoning
Causes;radioactive_substance;nuclear_contamination
IsA;radioactive_substance;hazardous_material
UsedFor;radioactive_substance;nuclear_smuggling
AtLocation;computer_virus;cybercrime_lab
CapableOf;computer_virus;data_encryption
Causes;computer_virus;system_crash
HasA;computer_virus;malicious_payload
HasProperty;computer_virus;stealth_capability
IsA;computer_virus;malware_variant
UsedFor;computer_virus;identity_theft
AtLocation;disarming_weapon;hostage_rescue_scene
CapableOf;disarming_weapon;non_lethal_disarmament
Causes;disarming_weapon;temporary
HasA;disarming_weapon;stun_module
IsA;disarming_weapon;less_than_lethal_weapon
UsedFor;disarming_weapon;suspect_apprehension
AtLocation;truck_hemtt;military_deployment_zone
CapableOf;truck_hemtt;heavy_equipment_transport
Causes;truck_hemtt;infrastructure_damage
HasA;truck_hemtt;winch_system
IsA;truck_hemtt;tactical_vehicle
UsedFor;truck_hemtt;logistics_support
AtLocation;sword;crime_scene_investigation
CapableOf;sword;lethal_stabbing
Causes;sword;fatal_injury
HasA;sword;blood_groove
IsA;sword;homicide_weapon
UsedFor;sword;physical_assault
AtLocation;locking;forensic_analysis_lab
CapableOf;locking;evidence_containment
HasA;locking;security_protocol
IsA;locking;access_control_measure
UsedFor;locking;crime_scene_preservation
AtLocation;plow;crime_scene_farm
CapableOf;plow;conceal_evidence
Causes;plow;traumatic_injury
HasA;plow;hidden_tool_compartment
HasProperty;plow;bloodstained_blade
IsA;plow;improvised_weapon
LocatedNear;plow;victim_remains
UsedFor;plow;evidence_tampering
AtLocation;sulfuric_acid;illicit_lab
CapableOf;sulfuric_acid;dissolve_biological_evidence
Causes;sulfuric_acid;severe_burns
HasProperty;sulfuric_acid;high
IsA;sulfuric_acid;destructive_agent
LocatedNear;sulfuric_acid;hazardous_waste
UsedFor;sulfuric_acid;evidence_destruction
AtLocation;fire_station;emergency_response_scene
HasA;fire_station;forensic_equipment_storage
IsA;fire_station;first_responder_facility
PartOf;fire_station;disaster_response_system
UsedFor;fire_station;arson_investigation
AtLocation;m16_rifle;crime_scene_warehouse
CapableOf;m16_rifle;long_range_assault
Causes;m16_rifle;gunshot_wound
HasA;m16_rifle;silencer_attachment
HasProperty;m16_rifle;modified_firearm
IsA;m16_rifle;assault_weapon
LocatedNear;m16_rifle;shell_casings
UsedFor;m16_rifle;armed_robbery
AtLocation;cargo_aircraft;smuggling_operation
CapableOf;cargo_aircraft;large_scale_transport
HasA;cargo_aircraft;hidden_cargo_compartment
IsA;cargo_aircraft;smuggling_vehicle
PartOf;cargo_aircraft;organized_crime_network
UsedFor;cargo_aircraft;illicit_goods_transportation
AtLocation;trash;crime_scene_dumpster
UsedFor;trash;evidence_concealment
AtLocation;fireplace_tool;arson_scene
CapableOf;fireplace_tool;accelerate_ignition
UsedFor;fireplace_tool;destroy_evidence
AtLocation;power_tool;burglary_site
CapableOf;power_tool;bypass_security_measures
Causes;power_tool;physical_injury
UsedFor;power_tool;forced_entry
AtLocation;box;evidence_storage_facility
HasA;box;hidden_compartment
UsedFor;box;contraband_transport
IsA;cold_weapon;homicide_weapon
CapableOf;cold_weapon;inflict_fatal_injury
LocatedNear;cold_weapon;victim_body
UsedFor;cold_weapon;physical_assault
AtLocation;van;abandoned_warehouse
CapableOf;van;smuggling
Causes;van;fatal_collision
HasA;van;hidden_compartment
HasProperty;van;tinted_windows
IsA;van;getaway_vehicle
LocatedNear;van;surveillance_camera
PartOf;van;organized_crime_syndicate
UsedFor;van;human_trafficking
AtLocation;money_sorter;counterfeit_operation
CapableOf;money_sorter;laundering_money
HasA;money_sorter;counterfeit_detection_system
IsA;money_sorter;financial_crime_tool
PartOf;money_sorter;money_laundering_scheme
UsedFor;money_sorter;embezzlement
AtLocation;vk_poison;chemical_lab
CapableOf;vk_poison;inducing_paralysis
Causes;vk_poison;respiratory_failure
HasProperty;vk_poison;high_toxicity
IsA;vk_poison;nerve_agent
UsedFor;vk_poison;assassination
AtLocation;poisoned_dart;jungle_camp
CapableOf;poisoned_dart;inflicting_severe_pain
Causes;poisoned_dart;cardiac_arrest
HasA;poisoned_dart;covert_delivery_system
IsA;poisoned_dart;lethal_projectile
UsedFor;poisoned_dart;silent_assassination
AtLocation;humic_acid;crime_scene_contamination
CapableOf;humic_acid;decomposing_biological_evidence
HasProperty;humic_acid;high_reactivity
IsA;humic_acid;forensic_interference_agent
UsedFor;humic_acid;evidence_tampering
AtLocation;recreational_vehicle;abandoned_garage
CapableOf;recreational_vehicle;high_speed_pursuit
Causes;recreational_vehicle;fatal_collision
HasA;recreational_vehicle;hidden_storage_compartment
HasProperty;recreational_vehicle;altered_vin
IsA;recreational_vehicle;stolen_property
LocatedNear;recreational_vehicle;surveillance_camera
UsedFor;recreational_vehicle;smuggling_operations
AtLocation;hydroselenic_acid;illicit_laboratory
CapableOf;hydroselenic_acid;chemical_synthesis
Causes;hydroselenic_acid;severe_burns
HasProperty;hydroselenic_acid;high_toxicity
IsA;hydroselenic_acid;controlled_substance
UsedFor;hydroselenic_acid;drug_manufacturing
AtLocation;tape_player;crime_scene
CapableOf;tape_player;audio_surveillance
HasA;tape_player;hidden_recording_device
HasProperty;tape_player;tampered_evidence
IsA;tape_player;forensic_evidence
LocatedNear;tape_player;victim_statements
